Agency Type,Distribution Channel,Claim,Duration,Net Sales,Commision (in value),Age
Travel Agency,Online,No,12,112,0,43
Travel Agency,Online,No,5,36,0,49
Travel Agency,Online,No,10,33,0,36
Travel Agency,Online,No,57,20,0,36
Travel Agency,Online,No,38,62,0,36
Travel Agency,Online,No,27,22,0,36
Travel Agency,Online,No,10,20,0,36
Travel Agency,Online,No,57,110,0,67
Travel Agency,Online,No,302,25,0,36
Travel Agency,Online,No,39,73,0,36
Travel Agency,Online,No,12,36,0,36
Travel Agency,Online,No,93,79,0,36
Travel Agency,Online,No,158,20,0,23
Travel Agency,Online,No,15,20,0,36
Travel Agency,Online,No,22,106,0,26
Travel Agency,Online,No,10,20,0,28
Travel Agency,Online,No,19,20,0,36
Travel Agency,Online,No,90,23,0,36
Travel Agency,Online,No,4,20,0,36
Travel Agency,Online,No,19,112,0,36
Travel Agency,Online,No,283,37,0,36
Travel Agency,Online,No,25,32,0,36
Travel Agency,Online,No,27,34,0,36
Travel Agency,Online,No,6,20,0,36
Travel Agency,Online,No,11,30,0,36
Travel Agency,Online,No,7,81,0,43
Travel Agency,Online,No,61,20,0,29
Travel Agency,Online,No,8,34,0,36
Travel Agency,Online,No,11,98,0,36
Travel Agency,Online,No,15,39,0,36
Travel Agency,Online,No,18,20,0,38
Travel Agency,Online,No,40,44,0,36
Travel Agency,Online,No,7,20,0,24
Travel Agency,Online,No,78,40,0,36
Travel Agency,Online,No,32,42,0,36
Travel Agency,Online,No,29,20,0,61
Travel Agency,Online,No,44,88,0,36
Travel Agency,Online,No,109,112,0,36
Travel Agency,Online,No,47,67,0,36
Travel Agency,Online,No,3,31,0,36
Travel Agency,Online,No,10,30,0,36
Travel Agency,Online,No,27,20,0,44
Travel Agency,Online,No,146,26,0,36
Travel Agency,Online,No,29,20,0,66
Travel Agency,Online,No,5,76,0,36
Travel Agency,Online,No,15,21,0,36
Travel Agency,Online,No,19,26,0,36
Travel Agency,Online,No,18,20,0,36
Travel Agency,Online,No,17,49,0,48
Travel Agency,Online,No,81,38,0,36
Travel Agency,Online,No,11,41,0,36
Travel Agency,Online,No,14,33,0,59
Travel Agency,Online,No,26,20,0,36
Travel Agency,Online,No,66,52,0,36
Travel Agency,Online,No,14,28,0,36
Travel Agency,Online,No,5,57,0,36
Travel Agency,Online,No,88,20,0,36
Travel Agency,Online,No,4,35,0,57
Travel Agency,Online,No,8,62,0,49
Travel Agency,Online,No,8,66,0,36
Travel Agency,Online,No,3,53,0,36
Travel Agency,Online,No,31,32,0,36
Travel Agency,Online,No,46,67,0,36
Travel Agency,Online,No,7,10,0,36
Travel Agency,Online,No,18,43,0,36
Travel Agency,Online,No,27,10,0,36
Travel Agency,Online,No,8,25,0,36
Travel Agency,Online,No,12,24,0,36
Travel Agency,Online,No,8,23,0,36
Travel Agency,Online,No,27,11,0,36
Travel Agency,Online,No,65,30,0,36
Travel Agency,Online,No,54,64,0,27
Travel Agency,Online,No,6,17,0,22
Travel Agency,Online,No,40,12,0,36
Travel Agency,Online,No,62,28,0,36
Travel Agency,Online,No,34,11,0,36
Travel Agency,Online,No,62,20,0,36
Travel Agency,Online,No,8,22,0,36
Travel Agency,Online,No,19,13,0,36
Travel Agency,Online,No,50,58,0,33
Travel Agency,Online,No,48,11,0,25
Travel Agency,Online,No,105,10,0,36
Travel Agency,Online,No,10,12,0,36
Travel Agency,Online,No,40,26,0,36
Travel Agency,Online,No,138,12,0,36
Travel Agency,Online,No,5,22,0,42
Travel Agency,Online,No,3,22,0,36
Travel Agency,Online,No,2,10,0,36
Travel Agency,Online,No,57,17,0,36
Travel Agency,Online,No,37,16,0,70
Travel Agency,Online,No,20,26,0,51
Travel Agency,Online,No,2,10,0,36
Travel Agency,Online,No,15,10,0,49
Travel Agency,Online,No,8,19,0,36
Travel Agency,Online,No,6,35,0,36
Travel Agency,Online,No,20,18,0,36
Travel Agency,Online,No,4,15,0,32
Travel Agency,Online,No,82,80,0,36
Travel Agency,Online,No,23,59,0,36
Travel Agency,Online,No,9,16,0,36
Travel Agency,Online,No,20,15,0,36
Travel Agency,Online,No,10,17,0,36
Travel Agency,Online,No,45,26,0,36
Travel Agency,Online,No,76,13,0,36
Travel Agency,Online,No,32,20,0,29
Travel Agency,Online,No,15,14,0,42
Travel Agency,Online,No,48,80,0,36
Travel Agency,Online,No,56,11,0,34
Travel Agency,Online,No,28,14,0,36
Travel Agency,Online,No,34,35,0,49
Travel Agency,Online,No,159,16,0,36
Travel Agency,Online,No,4,28,0,36
Travel Agency,Online,No,8,12,0,48
Travel Agency,Online,No,41,45,0,36
Travel Agency,Online,No,11,10,0,24
Travel Agency,Online,No,20,10,0,27
Travel Agency,Online,No,15,19,0,36
Travel Agency,Online,No,22,21,0,36
Travel Agency,Online,No,34,10,0,36
Travel Agency,Online,No,17,26,0,36
Travel Agency,Online,No,12,15,0,36
Travel Agency,Online,No,70,35,0,36
Travel Agency,Online,No,28,15,0,36
Travel Agency,Online,No,117,16,0,36
Travel Agency,Online,No,72,17,0,36
Travel Agency,Online,No,13,33,0,30
Travel Agency,Online,No,51,14,0,22
Travel Agency,Online,No,1,19,0,36
Travel Agency,Online,No,85,11,0,36
Travel Agency,Online,No,12,13,0,36
Travel Agency,Online,No,10,28,0,36
Travel Agency,Online,No,3,10,0,36
Travel Agency,Online,No,22,23,0,36
Travel Agency,Online,No,96,29,0,36
Travel Agency,Online,No,99,51,0,36
Travel Agency,Online,No,9,10,0,48
Travel Agency,Online,No,14,27,0,36
Travel Agency,Online,No,28,26,0,36
Travel Agency,Online,No,28,20,0,36
Travel Agency,Online,No,33,40,0,36
Travel Agency,Online,No,6,41,0,36
Travel Agency,Online,No,2,20,0,36
Travel Agency,Online,No,6,20,0,36
Travel Agency,Online,No,11,70,0,36
Travel Agency,Online,No,74,20,0,36
Airlines,Online,No,1,31,12.4,118
Airlines,Online,No,78,10.74,3.01,48
Airlines,Online,No,2,3.09,0.87,48
Airlines,Online,No,78,15.95,4.47,48
Airlines,Online,No,23,22,7.7,40
Airlines,Online,No,5,22,7.7,54
Airlines,Online,No,7,18,6.3,55
Airlines,Online,No,10,22,7.7,31
Airlines,Online,No,8,22,7.7,53
Airlines,Online,No,15,26,9.1,65
Airlines,Online,No,13,22,7.7,40
Airlines,Online,No,4,18,6.3,38
Airlines,Online,No,13,22,7.7,31
Airlines,Online,No,5,18,6.3,60
Airlines,Online,No,2,18,6.3,29
Airlines,Online,No,7,22,7.7,23
Airlines,Online,No,97,22,7.7,36
Airlines,Online,No,16,22,7.7,35
Airlines,Online,No,2,18,6.3,41
Airlines,Online,No,41,22,7.7,52
Airlines,Online,No,5,18,6.3,34
Airlines,Online,No,5,26,9.1,32
Airlines,Online,No,8,22,7.7,57
Airlines,Online,No,54,35,12.25,47
Airlines,Online,No,56,22,7.7,37
Airlines,Online,No,26,22,7.7,29
Airlines,Online,No,27,18,6.3,27
Airlines,Online,No,20,35,12.25,28
Airlines,Online,No,16,26,9.1,33
Airlines,Online,No,18,26,9.1,48
Airlines,Online,No,10,22,7.7,43
Airlines,Online,No,25,22,7.7,31
Airlines,Online,No,24,69,24.15,43
Airlines,Online,No,125,0,29.05,61
Airlines,Online,No,12,45,15.75,47
Airlines,Online,No,25,45,15.75,34
Travel Agency,Offline,No,66,29,9.57,61
Airlines,Online,No,18,61,21.35,118
Airlines,Online,No,13,37.02,12.96,48
Airlines,Online,No,5,20,7,48
Airlines,Online,No,3,37.5,13.13,48
Airlines,Online,No,4,20.25,5.06,28
Airlines,Online,No,20,59,14.75,63
Airlines,Online,No,10,35.25,8.81,29
Airlines,Online,No,3,57,14.25,46
Airlines,Online,No,41,83,20.75,43
Airlines,Online,No,214,102,25.5,50
Airlines,Online,No,380,291.75,72.94,64
Airlines,Online,No,365,216.75,54.19,36
Airlines,Online,No,417,321.75,80.44,43
Travel Agency,Online,No,5,39.6,23.76,47
Travel Agency,Online,No,18,89.1,53.46,58
Travel Agency,Online,No,37,49.5,29.7,39
Travel Agency,Online,No,70,148.5,89.1,31
Travel Agency,Online,No,63,0,29.7,31
Travel Agency,Online,No,32,79.2,47.52,39
Travel Agency,Online,No,7,49.5,29.7,41
Travel Agency,Online,No,67,39.6,23.76,31
Travel Agency,Online,No,57,69.3,41.58,31
Travel Agency,Online,No,190,0,5.94,31
Travel Agency,Online,No,26,148.5,89.1,54
Travel Agency,Online,No,8,69.3,41.58,37
Travel Agency,Online,No,76,39.6,23.76,33
Travel Agency,Online,No,10,34,0,36
Travel Agency,Online,No,241,47,0,36
Travel Agency,Online,No,227,77,0,36
Travel Agency,Online,No,15,28,0,36
Travel Agency,Online,No,96,37,0,36
Travel Agency,Online,No,47,24,0,36
Travel Agency,Online,No,19,20,0,56
Travel Agency,Online,No,59,20,0,36
Travel Agency,Online,No,15,27,0,36
Travel Agency,Online,No,109,62,0,36
Travel Agency,Online,No,103,20,0,36
Travel Agency,Online,No,19,35,0,36
Travel Agency,Online,No,69,20,0,23
Travel Agency,Online,No,30,25,0,59
Travel Agency,Online,No,16,20,0,36
Travel Agency,Online,No,22,20,0,36
Travel Agency,Online,No,102,112,0,36
Travel Agency,Online,No,54,112,0,59
Travel Agency,Online,No,55,23,0,36
Travel Agency,Online,No,14,40,0,36
Travel Agency,Online,No,17,20,0,36
Travel Agency,Online,No,5,22,0,74
Travel Agency,Online,No,102,26,0,36
Travel Agency,Online,No,17,27,0,63
Travel Agency,Online,No,114,29,0,36
Travel Agency,Online,No,81,20,0,36
Travel Agency,Online,No,68,112,0,48
Travel Agency,Online,Yes,40,20,0,36
Travel Agency,Online,No,6,23,0,38
Travel Agency,Online,No,4,20,0,39
Travel Agency,Online,No,25,20,0,36
Travel Agency,Online,No,24,88,0,46
Travel Agency,Online,No,27,26,0,32
Travel Agency,Online,No,33,20,0,36
Travel Agency,Online,No,49,21,0,36
Travel Agency,Online,No,40,20,0,36
Travel Agency,Online,No,85,66,0,36
Travel Agency,Online,No,33,20,0,26
Travel Agency,Online,No,39,27,0,32
Travel Agency,Online,No,19,20,0,50
Travel Agency,Online,No,21,40,0,36
Travel Agency,Online,No,10,58,0,36
Travel Agency,Online,No,28,112,0,57
Travel Agency,Online,No,60,47,0,36
Travel Agency,Online,No,15,21,0,36
Travel Agency,Online,No,46,20,0,24
Travel Agency,Online,No,96,37,0,36
Travel Agency,Online,No,43,39,0,36
Travel Agency,Online,No,21,98,0,36
Travel Agency,Online,No,30,112,0,36
Travel Agency,Online,No,47,32,0,36
Travel Agency,Online,No,92,20,0,36
Travel Agency,Online,No,39,32,0,32
Travel Agency,Online,No,237,23,0,36
Travel Agency,Online,No,16,28,0,36
Travel Agency,Online,No,11,23,0,36
Travel Agency,Online,No,4,70,0,36
Travel Agency,Online,No,35,31,0,36
Travel Agency,Online,No,9,20,0,28
Travel Agency,Online,No,12,20,0,36
Travel Agency,Online,No,34,112,0,51
Travel Agency,Online,No,89,20,0,36
Travel Agency,Online,No,15,30,0,36
Travel Agency,Online,No,35,32,0,36
Travel Agency,Online,No,7,20,0,36
Travel Agency,Online,No,39,33,0,36
Travel Agency,Online,No,2,18,0,20
Travel Agency,Online,No,6,16,0,46
Travel Agency,Online,No,15,13,0,36
Travel Agency,Online,No,6,33,0,36
Travel Agency,Online,No,113,12,0,36
Travel Agency,Online,No,11,10,0,36
Travel Agency,Online,No,12,45,0,36
Travel Agency,Online,No,20,10,0,36
Travel Agency,Online,No,66,10,0,36
Travel Agency,Online,No,17,20,0,36
Travel Agency,Online,No,17,12,0,36
Travel Agency,Online,No,14,10,0,36
Travel Agency,Online,No,11,45,0,36
Travel Agency,Online,No,10,70,0,36
Travel Agency,Online,No,4,10,0,36
Travel Agency,Online,No,194,14,0,24
Travel Agency,Online,No,16,63,0,36
Travel Agency,Online,No,39,25,0,55
Travel Agency,Online,No,29,14,0,36
Travel Agency,Online,No,7,18,0,36
Travel Agency,Online,No,59,29,0,36
Travel Agency,Online,No,35,10,0,36
Travel Agency,Online,No,6,10,0,51
Travel Agency,Online,No,16,15,0,36
Travel Agency,Online,No,27,28,0,24
Travel Agency,Online,No,4,12,0,30
Travel Agency,Online,No,67,14,0,36
Travel Agency,Online,No,67,14,0,36
Travel Agency,Online,No,23,10,0,35
Travel Agency,Online,No,25,10,0,36
Travel Agency,Online,No,62,30,0,27
Travel Agency,Online,No,145,10,0,36
Travel Agency,Online,No,53,10,0,24
Travel Agency,Online,No,28,13,0,36
Travel Agency,Online,No,15,11,0,36
Travel Agency,Online,No,40,32,0,42
Travel Agency,Online,No,5,10,0,35
Travel Agency,Online,No,25,10,0,29
Travel Agency,Online,No,113,12,0,36
Travel Agency,Online,No,54,14,0,26
Travel Agency,Online,No,11,35,0,43
Travel Agency,Online,No,8,12,0,36
Travel Agency,Online,No,40,25,0,36
Travel Agency,Online,No,12,19,0,36
Travel Agency,Online,No,16,16,0,36
Travel Agency,Online,No,11,17,0,36
Travel Agency,Online,No,4,31,0,32
Travel Agency,Online,No,17,15,0,36
Travel Agency,Online,No,44,15,0,36
Travel Agency,Online,No,11,11,0,44
Travel Agency,Online,No,15,30,0,36
Travel Agency,Online,No,8,70,0,36
Travel Agency,Online,No,12,12,0,22
Travel Agency,Online,No,12,12,0,27
Travel Agency,Online,No,39,11,0,36
Travel Agency,Online,No,33,13,0,27
Travel Agency,Online,No,17,10,0,36
Travel Agency,Online,No,55,15,0,36
Travel Agency,Online,No,1,10,0,36
Travel Agency,Online,No,15,37,0,36
Travel Agency,Online,No,27,23,0,36
Travel Agency,Online,No,10,36,0,36
Travel Agency,Online,No,8,25,0,36
Travel Agency,Online,No,11,80,0,36
Travel Agency,Online,No,102,10,0,36
Travel Agency,Online,No,35,10,0,36
Travel Agency,Online,No,10,80,0,64
Travel Agency,Online,No,17,19,0,47
Travel Agency,Online,No,4,10,0,36
Travel Agency,Online,No,33,10,0,26
Travel Agency,Online,No,67,23,0,36
Travel Agency,Online,No,53,10,0,30
Travel Agency,Online,No,16,15,0,36
Travel Agency,Online,No,32,41,0,36
Travel Agency,Online,No,4,28,0,85
Travel Agency,Online,No,95,10,0,26
Travel Agency,Online,No,38,80,0,36
Travel Agency,Online,No,18,22,0,36
Travel Agency,Online,No,3,10,0,41
Travel Agency,Online,No,22,13,0,36
Travel Agency,Online,No,138,18,0,36
Travel Agency,Online,No,16,68,0,36
Travel Agency,Online,No,11,15,0,36
Travel Agency,Online,No,102,18,0,31
Travel Agency,Online,No,6,22,0,36
Travel Agency,Online,No,33,16,0,36
Travel Agency,Online,No,11,24,0,36
Travel Agency,Online,No,2,10,0,47
Travel Agency,Online,No,16,19,0,36
Travel Agency,Online,No,27,49,0,36
Travel Agency,Online,No,7,20,0,36
Travel Agency,Online,No,12,20,0,32
Travel Agency,Online,No,52,22,0,38
Travel Agency,Online,No,4,20,0,36
Travel Agency,Online,No,2,20,0,36
Travel Agency,Online,No,3,20,0,35
Travel Agency,Online,No,7,29,0,53
Airlines,Online,No,1,62,24.8,118
Airlines,Online,No,7,31,12.4,118
Airlines,Online,No,39,50,20,118
Airlines,Online,No,5,15,6,51
Airlines,Online,No,55,15,6,36
Airlines,Online,No,42,3.99,1.12,48
Airlines,Online,No,0,4.44,1.25,48
Airlines,Online,No,3,9.12,2.56,48
Airlines,Online,No,3,18,6.3,48
Airlines,Online,No,10,22,7.7,43
Airlines,Online,No,12,35,12.25,56
Airlines,Online,No,21,40,14,48
Airlines,Online,No,40,22,7.7,35
Airlines,Online,No,21,40,14,42
Airlines,Online,No,9,22,7.7,54
Airlines,Online,No,33,52,18.2,23
Airlines,Online,No,24,44,15.4,48
Airlines,Online,No,11,26,9.1,41
Airlines,Online,No,1,18,6.3,70
Airlines,Online,No,21,0,12.25,35
Airlines,Online,No,83,61,21.35,42
Airlines,Online,No,39,18,6.3,18
Airlines,Online,No,6,18,6.3,25
Airlines,Online,No,17,26,9.1,53
Airlines,Online,No,20,22,7.7,63
Airlines,Online,No,6,18,6.3,38
Airlines,Online,No,38,22,7.7,52
Airlines,Online,No,20,35,12.25,35
Airlines,Online,No,55,26,9.1,54
Airlines,Online,No,7,22,7.7,57
Airlines,Online,No,76,52,18.2,54
Airlines,Online,No,13,18,6.3,38
Airlines,Online,No,9,22,7.7,45
Airlines,Online,No,84,49,17.15,60
Airlines,Online,No,15,36,12.6,38
Airlines,Online,No,16,45,15.75,40
Airlines,Online,No,39,69,24.15,54
Travel Agency,Offline,No,11,29,9.57,67
Travel Agency,Offline,No,6,29,9.57,118
Travel Agency,Offline,No,71,29,9.57,118
Airlines,Online,No,4,22.2,5.55,27
Airlines,Online,No,5,32.25,8.06,34
Travel Agency,Online,No,5,49.5,29.7,54
Travel Agency,Online,No,52,69.3,41.58,28
Travel Agency,Online,No,11,29.7,17.82,42
Travel Agency,Online,No,28,0,53.46,31
Travel Agency,Online,No,65,69.3,41.58,26
Travel Agency,Online,No,43,128.7,77.22,31
Travel Agency,Online,No,9,39.6,23.76,49
Travel Agency,Online,No,35,39.6,23.76,36
Travel Agency,Online,No,55,89.1,53.46,68
Travel Agency,Online,No,42,59.4,35.64,31
Travel Agency,Online,No,13,29.7,17.82,31
Travel Agency,Online,No,4,29.7,17.82,38
Travel Agency,Online,No,72,79.2,47.52,45
Travel Agency,Online,No,12,29.7,17.82,31
Travel Agency,Online,No,3,0,11.88,59
Travel Agency,Online,No,44,69.3,41.58,41
Travel Agency,Online,No,96,69.3,41.58,31
Travel Agency,Online,No,19,49.5,29.7,58
Travel Agency,Online,No,39,29.7,17.82,30
Travel Agency,Online,No,56,59.4,35.64,64
Travel Agency,Online,No,96,69.3,41.58,31
Travel Agency,Online,No,16,79.2,47.52,40
Travel Agency,Online,No,29,29.7,17.82,50
Travel Agency,Online,No,29,29.7,17.82,50
Travel Agency,Online,No,37,20,0,36
Travel Agency,Online,No,44,60,0,36
Travel Agency,Online,No,8,20,0,36
Travel Agency,Online,No,17,20,0,36
Travel Agency,Online,No,5,20,0,36
Travel Agency,Online,No,171,104,0,36
Travel Agency,Online,No,31,29,0,36
Travel Agency,Online,No,30,56,0,36
Travel Agency,Online,No,23,20,0,36
Travel Agency,Online,No,70,104,0,36
Travel Agency,Online,No,25,40,0,36
Travel Agency,Online,No,18,20,0,48
Travel Agency,Online,No,5,20,0,35
Travel Agency,Online,No,38,34,0,36
Travel Agency,Online,No,98,20,0,36
Travel Agency,Online,No,46,20,0,35
Travel Agency,Online,No,101,24,0,29
Travel Agency,Online,No,60,20,0,36
Travel Agency,Online,No,69,82,0,36
Travel Agency,Online,No,106,85,0,36
Travel Agency,Online,No,15,28,0,36
Travel Agency,Online,No,11,21,0,50
Travel Agency,Online,No,143,101,0,36
Travel Agency,Online,No,101,20,0,42
Travel Agency,Online,No,94,74,0,36
Travel Agency,Online,No,45,38,0,36
Travel Agency,Online,No,17,29,0,36
Travel Agency,Online,No,55,38,0,36
Travel Agency,Online,No,52,20,0,36
Travel Agency,Online,No,7,40,0,31
Travel Agency,Online,No,52,40,0,36
Travel Agency,Online,No,38,28,0,31
Travel Agency,Online,No,16,20,0,26
Travel Agency,Online,No,20,20,0,29
Travel Agency,Online,No,21,34,0,30
Travel Agency,Online,No,29,58,0,36
Travel Agency,Online,No,23,20,0,32
Travel Agency,Online,No,17,41,0,36
Travel Agency,Online,No,24,98,0,36
Travel Agency,Online,No,7,31,0,46
Travel Agency,Online,No,74,20,0,36
Travel Agency,Online,No,62,112,0,44
Travel Agency,Online,No,39,30,0,36
Travel Agency,Online,No,137,82,0,36
Travel Agency,Online,No,37,20,0,36
Travel Agency,Online,No,23,0,0,36
Travel Agency,Online,No,48,20,0,36
Travel Agency,Online,No,73,56,0,36
Travel Agency,Online,No,89,28,0,36
Travel Agency,Online,No,14,20,0,36
Travel Agency,Online,No,59,112,0,36
Travel Agency,Online,No,25,20,0,29
Travel Agency,Online,No,35,20,0,58
Travel Agency,Online,No,19,27,0,36
Travel Agency,Online,No,52,39,0,46
Travel Agency,Online,No,44,29,0,36
Travel Agency,Online,No,138,63,0,36
Travel Agency,Online,No,237,52,0,36
Travel Agency,Online,No,38,75,0,36
Travel Agency,Online,No,92,20,0,56
Travel Agency,Online,No,5,31,0,46
Travel Agency,Online,No,58,43,0,36
Travel Agency,Online,No,39,27,0,30
Travel Agency,Online,No,22,36,0,39
Travel Agency,Online,No,196,20,0,36
Travel Agency,Online,No,29,37,0,36
Travel Agency,Online,No,37,20,0,36
Travel Agency,Online,No,62,20,0,46
Travel Agency,Online,No,8,48,0,36
Travel Agency,Online,No,23,30,0,36
Travel Agency,Online,No,40,67,0,36
Travel Agency,Online,No,11,12,0,36
Travel Agency,Online,No,58,10,0,36
Travel Agency,Online,No,5,10,0,36
Travel Agency,Online,No,14,10,0,32
Travel Agency,Online,No,3,24,0,36
Travel Agency,Online,No,11,22,0,36
Travel Agency,Online,No,143,23,0,32
Travel Agency,Online,No,55,10,0,25
Travel Agency,Online,No,55,10,0,36
Travel Agency,Online,No,18,80,0,36
Travel Agency,Online,No,11,10,0,36
Travel Agency,Online,No,3,23,0,36
Travel Agency,Online,No,45,27,0,36
Travel Agency,Online,No,81,26,0,36
Travel Agency,Online,No,9,13,0,55
Travel Agency,Online,No,38,13,0,26
Travel Agency,Online,No,59,12,0,24
Travel Agency,Online,No,22,66,0,39
Travel Agency,Online,No,7,17,0,29
Travel Agency,Online,No,8,10,0,67
Travel Agency,Online,No,59,24,0,36
Travel Agency,Online,No,43,10,0,36
Travel Agency,Online,No,37,69,0,36
Travel Agency,Online,No,7,22,0,40
Travel Agency,Online,No,60,12,0,36
Travel Agency,Online,No,67,11,0,36
Travel Agency,Online,No,10,18,0,36
Travel Agency,Online,No,22,10,0,36
Travel Agency,Online,No,107,10,0,36
Travel Agency,Online,No,57,32,0,36
Travel Agency,Online,No,59,10,0,26
Travel Agency,Online,No,102,12,0,36
Travel Agency,Online,No,2,54,0,44
Travel Agency,Online,No,110,14,0,46
Travel Agency,Online,No,32,18,0,43
Travel Agency,Online,No,35,10,0,30
Travel Agency,Online,No,10,11,0,27
Travel Agency,Online,No,123,16,0,28
Travel Agency,Online,No,56,20,0,36
Travel Agency,Online,No,214,34,0,36
Travel Agency,Online,No,44,11,0,36
Travel Agency,Online,No,15,22,0,36
Travel Agency,Online,No,34,11,0,36
Travel Agency,Online,No,13,42,0,36
Travel Agency,Online,No,35,41,0,36
Travel Agency,Online,No,23,16,0,21
Travel Agency,Online,No,5,10,0,30
Travel Agency,Online,No,1,14,0,36
Travel Agency,Online,No,22,12,0,36
Travel Agency,Online,No,3,10,0,24
Travel Agency,Online,No,108,16,0,36
Travel Agency,Online,No,49,45,0,21
Travel Agency,Online,No,9,10,0,28
Travel Agency,Online,No,46,10,0,43
Travel Agency,Online,No,37,21,0,37
Travel Agency,Online,No,2,10,0,36
Travel Agency,Online,No,38,41,0,36
Travel Agency,Online,No,17,72,0,36
Travel Agency,Online,No,16,0,0,36
Travel Agency,Online,No,8,57,0,26
Travel Agency,Online,No,5,10,0,65
Travel Agency,Online,No,28,42,0,36
Travel Agency,Online,No,74,24,0,36
Travel Agency,Online,No,24,13,0,44
Travel Agency,Online,No,17,11,0,36
Travel Agency,Online,No,45,16,0,36
Travel Agency,Online,No,38,36,0,36
Travel Agency,Online,No,51,80,0,36
Travel Agency,Online,No,5,11,0,39
Travel Agency,Online,No,111,22,0,36
Travel Agency,Online,No,7,10,0,34
Travel Agency,Online,No,21,15,0,36
Travel Agency,Online,No,11,16,0,49
Travel Agency,Online,No,48,13,0,36
Travel Agency,Online,No,150,0,0,36
Travel Agency,Online,No,89,42,0,36
Travel Agency,Online,No,5,13,0,59
Travel Agency,Online,No,8,21,0,36
Travel Agency,Online,No,12,13,0,36
Travel Agency,Online,No,7,10,0,36
Travel Agency,Online,No,23,10,0,36
Travel Agency,Online,No,39,80,0,36
Travel Agency,Online,No,10,27,0,51
Travel Agency,Online,No,22,12,0,36
Travel Agency,Online,No,37,80,0,25
Travel Agency,Online,No,7,10,0,36
Travel Agency,Online,No,5,14,0,36
Travel Agency,Online,No,9,20,0,65
Travel Agency,Online,No,6,20,0,36
Travel Agency,Online,No,13,10,0,36
Travel Agency,Online,No,18,23,0,36
Travel Agency,Online,No,162,38,0,36
Travel Agency,Online,No,8,26,0,36
Travel Agency,Online,No,291,16,0,36
Travel Agency,Online,No,3,25,0,36
Travel Agency,Online,No,28,10,0,36
Travel Agency,Online,No,11,10,0,29
Travel Agency,Online,No,32,19,0,36
Travel Agency,Online,No,157,53,0,36
Travel Agency,Online,No,1,20,0,36
Travel Agency,Online,No,8,20,0,36
Travel Agency,Online,No,11,25,0,36
Travel Agency,Online,No,8,0,0,36
Travel Agency,Online,No,1,20,0,40
Travel Agency,Online,No,4,20,0,60
Travel Agency,Online,No,16,20,0,36
Travel Agency,Online,No,30,20,0,27
Travel Agency,Online,No,4,26,0,36
Travel Agency,Online,No,18,20,0,36
Travel Agency,Online,No,45,20,0,36
Airlines,Online,No,17,72,28.8,118
Travel Agency,Online,No,3,29,11.02,48
Airlines,Online,No,7,0,6,69
Airlines,Online,No,19,0,6,58
Airlines,Online,No,19,0,6,58
Airlines,Online,No,19,0,6,58
Airlines,Online,No,14,4.63,1.3,48
Airlines,Online,No,17,22,7.7,66
Airlines,Online,No,11,22,7.7,67
Airlines,Online,No,17,26,9.1,36
Airlines,Online,No,16,22,7.7,40
Airlines,Online,No,15,22,7.7,44
Airlines,Online,No,50,22,7.7,26
Airlines,Online,No,21,35,12.25,68
Airlines,Online,No,10,35,12.25,54
Airlines,Online,No,6,22,7.7,64
Airlines,Online,No,18,35,12.25,46
Airlines,Online,No,20,44,15.4,39
Airlines,Online,No,16,22,7.7,39
Airlines,Online,No,32,26,9.1,37
Airlines,Online,No,123,69,24.15,48
Airlines,Online,No,115,37,12.95,38
Airlines,Online,No,32,22,7.7,34
Airlines,Online,No,5,18,6.3,49
Airlines,Online,No,178,22,7.7,59
Airlines,Online,No,4,22,7.7,43
Airlines,Online,No,226,35,12.25,55
Airlines,Online,No,18,26,9.1,49
Airlines,Online,No,63,63,22.05,35
Airlines,Online,No,54,22,7.7,54
Airlines,Online,No,37,26,9.1,48
Airlines,Online,No,7,22,7.7,22
Airlines,Online,No,14,22,7.7,38
Airlines,Online,No,53,37,12.95,32
Airlines,Online,No,31,18,6.3,34
Airlines,Online,No,29,125,43.75,51
Airlines,Online,No,117,125,43.75,26
Travel Agency,Offline,No,10,20,0,38
Travel Agency,Offline,No,10,20,0,38
Travel Agency,Offline,No,19,29,9.57,61
Travel Agency,Offline,No,10,108.9,65.34,35
Travel Agency,Offline,No,35,29,9.57,18
Travel Agency,Offline,No,31,29,9.57,53
Airlines,Online,No,36,17.82,6.24,48
Airlines,Online,No,66,57,14.25,37
Airlines,Online,No,43,35.25,8.81,27
Airlines,Online,No,9,35.25,8.81,30
Airlines,Online,No,5,30,7.5,33
Airlines,Online,No,2,41,10.25,61
Airlines,Online,No,364,291.75,72.94,37
Travel Agency,Online,No,2,19.8,11.88,50
Travel Agency,Online,No,4,9.9,5.94,38
Travel Agency,Online,No,4,19.8,11.88,26
Travel Agency,Online,No,14,69.3,41.58,31
Travel Agency,Online,No,62,49.5,29.7,36
Travel Agency,Online,No,6,19.8,11.88,31
Travel Agency,Online,No,102,0,65.34,46
Travel Agency,Online,No,61,39.6,23.76,37
Travel Agency,Online,No,30,9.9,5.94,34
Travel Agency,Online,No,3,19.8,11.88,31
Travel Agency,Online,No,80,0,29.7,63
Travel Agency,Online,No,23,19.8,11.88,38
Travel Agency,Online,No,98,69.3,41.58,59
Travel Agency,Online,No,24,158.4,95.04,53
Travel Agency,Online,No,23,29.7,17.82,48
Travel Agency,Online,No,8,49.5,29.7,36
Travel Agency,Online,No,24,55,0,36
